dblp_key	custom_key	venue	year	author_label	base_key	original_bib_key
journals/combinatorica/AckermanDKPR25	COMB:ADKPR25	combinatorica	2025	ADKPR	COMB:ADKPR25	DBLP:journals/combinatorica/AckermanDKPR25
journals/combinatorica/AlonDKZ25	COMB:ADKZ25	combinatorica	2025	ADKZ	COMB:ADKZ25	DBLP:journals/combinatorica/AlonDKZ25
journals/combinatorica/Addario-BerryDMRT07	COMB:ADMRT07	combinatorica	2007	ADMRT	COMB:ADMRT07	DBLP:journals/combinatorica/Addario-BerryDMRT07
journals/combinatorica/AronovEGKKPS94	COMB:AEGKKP94	combinatorica	1994	AEGKKP	COMB:AEGKKP94	DBLP:journals/combinatorica/AronovEGKKPS94
journals/combinatorica/AronovEGS92	COMB:AEGS92	combinatorica	1992	AEGS	COMB:AEGS92	DBLP:journals/combinatorica/AronovEGS92
journals/combinatorica/AjtaiEKS81	COMB:AEKS81	combinatorica	1981	AEKS	COMB:AEKS81	DBLP:journals/combinatorica/AjtaiEKS81
journals/combinatorica/AlonFKS00	COMB:AFKS00	combinatorica	2000	AFKS	COMB:AFKS00	DBLP:journals/combinatorica/AlonFKS00
journals/combinatorica/AdiprasitoHKKS25	COMB:AHKKS25	combinatorica	2025	AHKKS	COMB:AHKKS25	DBLP:journals/combinatorica/AdiprasitoHKKS25
journals/combinatorica/AlbrechtsenJKW25	COMB:AJKW25	combinatorica	2025	AJKW	COMB:AJKW25	DBLP:journals/combinatorica/AlbrechtsenJKW25
journals/combinatorica/AlonKPSS87	COMB:AKPSS87	combinatorica	1987	AKPSS	COMB:AKPSS87	DBLP:journals/combinatorica/AlonKPSS87
journals/combinatorica/AbbottH89	COMB:AbbHar89	combinatorica	1989	AbbHar	COMB:AbbHar89	DBLP:journals/combinatorica/AbbottH89
journals/combinatorica/AbbottHZ95	COMB:AbbHarZho95	combinatorica	1995	AbbHarZho	COMB:AbbHarZho95	DBLP:journals/combinatorica/AbbottHZ95
journals/combinatorica/AbbottL87	COMB:AbbLiu87	combinatorica	1987	AbbLiu	COMB:AbbLiu87	DBLP:journals/combinatorica/AbbottL87
journals/combinatorica/AbbottZ91	COMB:AbbZho91	combinatorica	1991	AbbZho	COMB:AbbZho91	DBLP:journals/combinatorica/AbbottZ91
journals/combinatorica/Zhou95	COMB:AbbZho95	combinatorica	1995	AbbZho	COMB:AbbZho95	DBLP:journals/combinatorica/Zhou95
journals/combinatorica/AbdiCL20	COMB:AbdCorLee20	combinatorica	2020	AbdCorLee	COMB:AbdCorLee20	DBLP:journals/combinatorica/AbdiCL20
journals/combinatorica/AbdiCZ24	COMB:AbdCorZam24a	combinatorica	2024	AbdCorZam	COMB:AbdCorZam24	DBLP:journals/combinatorica/AbdiCZ24
journals/combinatorica/AbdiCZ24a	COMB:AbdCorZam24b	combinatorica	2024	AbdCorZam	COMB:AbdCorZam24	DBLP:journals/combinatorica/AbdiCZ24a
journals/combinatorica/AbdiG19	COMB:AbdGue19a	combinatorica	2019	AbdGue	COMB:AbdGue19	DBLP:journals/combinatorica/AbdiG19
journals/combinatorica/AbdiG19a	COMB:AbdGue19b	combinatorica	2019	AbdGue	COMB:AbdGue19	DBLP:journals/combinatorica/AbdiG19a
journals/combinatorica/Abe04	COMB:Abe04	combinatorica	2004	Abe	COMB:Abe04	DBLP:journals/combinatorica/Abe04
journals/combinatorica/AbertH15	COMB:AbeHub15	combinatorica	2015	AbeHub	COMB:AbeHub15	DBLP:journals/combinatorica/AbertH15
journals/combinatorica/AbregoEF04	COMB:AbrEleFer04	combinatorica	2004	AbrEleFer	COMB:AbrEleFer04	DBLP:journals/combinatorica/AbregoEF04
journals/combinatorica/AdiprasitoAK22	COMB:AdiAvvKar22	combinatorica	2022	AdiAvvKar	COMB:AdiAvvKar22	DBLP:journals/combinatorica/AdiprasitoAK22
journals/combinatorica/AdiprasitoB17	COMB:AdiBen17	combinatorica	2017	AdiBen	COMB:AdiBen17	DBLP:journals/combinatorica/AdiprasitoB17
journals/combinatorica/AdigaCS14	COMB:AdiChaSiv14	combinatorica	2014	AdiChaSiv	COMB:AdiChaSiv14	DBLP:journals/combinatorica/AdigaCS14
journals/combinatorica/AdiprasitoP17	COMB:AdiPad17	combinatorica	2017	AdiPad	COMB:AdiPad17	DBLP:journals/combinatorica/AdiprasitoP17
journals/combinatorica/Adin92	COMB:Adin92	combinatorica	1992	Adin	COMB:Adin92	DBLP:journals/combinatorica/Adin92
journals/combinatorica/AggarwalA88	COMB:AggAnd88	combinatorica	1988	AggAnd	COMB:AggAnd88	DBLP:journals/combinatorica/AggarwalA88
journals/combinatorica/AgugliaK06	COMB:AguKor06	combinatorica	2006	AguKor	COMB:AguKor06	DBLP:journals/combinatorica/AgugliaK06
journals/combinatorica/AharoniBZ02	COMB:AhaBerZiv02	combinatorica	2002	AhaBerZiv	COMB:AhaBerZiv02	DBLP:journals/combinatorica/AharoniBZ02
journals/combinatorica/AharoniBZ07	COMB:AhaBerZiv07	combinatorica	2007	AhaBerZiv	COMB:AhaBerZiv07	DBLP:journals/combinatorica/AharoniBZ07
journals/combinatorica/AharoniEL88	COMB:AhaErdLin88	combinatorica	1988	AhaErdLin	COMB:AhaErdLin88	DBLP:journals/combinatorica/AharoniEL88
journals/combinatorica/AharoniHJ19	COMB:AhaHolJia19	combinatorica	2019	AhaHolJia	COMB:AhaHolJia19	DBLP:journals/combinatorica/AharoniHJ19
journals/combinatorica/AharoniHK96	COMB:AhaHolKri96	combinatorica	1996	AhaHolKri	COMB:AhaHolKri96	DBLP:journals/combinatorica/AharoniHK96
journals/combinatorica/AharoniKZ17	COMB:AhaKaiZer17	combinatorica	2017	AhaKaiZer	COMB:AhaKaiZer17	DBLP:journals/combinatorica/AharoniKZ17
journals/combinatorica/Aharoni01	COMB:Aharoni01	combinatorica	2001	Aharoni	COMB:Aharoni01	DBLP:journals/combinatorica/Aharoni01
journals/combinatorica/Aharoni84	COMB:Aharoni84	combinatorica	1984	Aharoni	COMB:Aharoni84	DBLP:journals/combinatorica/Aharoni84
journals/combinatorica/Aharoni85	COMB:Aharoni85	combinatorica	1985	Aharoni	COMB:Aharoni85	DBLP:journals/combinatorica/Aharoni85
journals/combinatorica/AhlswedeAK03	COMB:AhlAydKha03	combinatorica	2003	AhlAydKha	COMB:AhlAydKha03	DBLP:journals/combinatorica/AhlswedeAK03
journals/combinatorica/AhlswedeAK04	COMB:AhlAydKha04	combinatorica	2004	AhlAydKha	COMB:AhlAydKha04	DBLP:journals/combinatorica/AhlswedeAK04
journals/combinatorica/AhlswedeC93	COMB:AhlCai93	combinatorica	1993	AhlCai	COMB:AhlCai93	DBLP:journals/combinatorica/AhlswedeC93
journals/combinatorica/AhlswedeC97	COMB:AhlCai97	combinatorica	1997	AhlCai	COMB:AhlCai97	DBLP:journals/combinatorica/AhlswedeC97
journals/combinatorica/AhlswedeCZ92	COMB:AhlCaiZha92	combinatorica	1992	AhlCaiZha	COMB:AhlCaiZha92	DBLP:journals/combinatorica/AhlswedeCZ92
journals/combinatorica/AhlswedeEG95	COMB:AhlErdGra95	combinatorica	1995	AhlErdGra	COMB:AhlErdGra95	DBLP:journals/combinatorica/AhlswedeEG95
journals/combinatorica/AhlswedeK04	COMB:AhlKha04	combinatorica	2004	AhlKha	COMB:AhlKha04	DBLP:journals/combinatorica/AhlswedeK04
journals/combinatorica/AhlswedeK97	COMB:AhlKha97	combinatorica	1997	AhlKha	COMB:AhlKha97	DBLP:journals/combinatorica/AhlswedeK97
journals/combinatorica/AhlswedeK99	COMB:AhlKha99	combinatorica	1999	AhlKha	COMB:AhlKha99	DBLP:journals/combinatorica/AhlswedeK99
journals/combinatorica/AielloGH90	COMB:AieGolHas90	combinatorica	1990	AieGolHas	COMB:AieGolHas90	DBLP:journals/combinatorica/AielloGH90
journals/combinatorica/AignerG88	COMB:AigGri88	combinatorica	1988	AigGri	COMB:AigGri88	DBLP:journals/combinatorica/AignerG88
journals/combinatorica/Aigner-HorevHS14	COMB:AigHanSch14	combinatorica	2014	AigHanSch	COMB:AigHanSch14	DBLP:journals/combinatorica/Aigner-HorevHS14
journals/combinatorica/AjtaiKS81	COMB:AjtKomSze81	combinatorica	1981	AjtKomSze	COMB:AjtKomSze81	DBLP:journals/combinatorica/AjtaiKS81
journals/combinatorica/AjtaiKS82	COMB:AjtKomSze82	combinatorica	1982	AjtKomSze	COMB:AjtKomSze82	DBLP:journals/combinatorica/AjtaiKS82
journals/combinatorica/AjtaiKS83	COMB:AjtKomSze83	combinatorica	1983	AjtKomSze	COMB:AjtKomSze83	DBLP:journals/combinatorica/AjtaiKS83
journals/combinatorica/AjtaiKT84	COMB:AjtKomTus84	combinatorica	1984	AjtKomTus	COMB:AjtKomTus84	DBLP:journals/combinatorica/AjtaiKT84
journals/combinatorica/AjtaiL93	COMB:AjtLin93	combinatorica	1993	AjtLin	COMB:AjtLin93	DBLP:journals/combinatorica/AjtaiL93
journals/combinatorica/Ajtai88	COMB:Ajtai88	combinatorica	1988	Ajtai	COMB:Ajtai88	DBLP:journals/combinatorica/Ajtai88
journals/combinatorica/Ajtai94	COMB:Ajtai94a	combinatorica	1994	Ajtai	COMB:Ajtai94	DBLP:journals/combinatorica/Ajtai94
journals/combinatorica/Ajtai94a	COMB:Ajtai94b	combinatorica	1994	Ajtai	COMB:Ajtai94	DBLP:journals/combinatorica/Ajtai94a
journals/combinatorica/AldredHJ91	COMB:AldHolJac91	combinatorica	1991	AldHolJac	COMB:AldHolJac91	DBLP:journals/combinatorica/AldredHJ91
journals/combinatorica/Alexander90	COMB:Alexander90	combinatorica	1990	Alexander	COMB:Alexander90	DBLP:journals/combinatorica/Alexander90
journals/combinatorica/Ramirez-Alfonsin96	COMB:Alfonsin96	combinatorica	1996	Alfonsin	COMB:Alfonsin96	DBLP:journals/combinatorica/Ramirez-Alfonsin96
journals/combinatorica/AlladiB02	COMB:AllBer02	combinatorica	2002	AllBer	COMB:AllBer02	DBLP:journals/combinatorica/AlladiB02
journals/combinatorica/AllenBS13	COMB:AllBriSko13	combinatorica	2013	AllBriSko	COMB:AllBriSko13	DBLP:journals/combinatorica/AllenBS13
journals/combinatorica/AllsopW25	COMB:AllWan25	combinatorica	2025	AllWan	COMB:AllWan25	DBLP:journals/combinatorica/AllsopW25
journals/combinatorica/Allys94	COMB:Allys94	combinatorica	1994	Allys	COMB:Allys94	DBLP:journals/combinatorica/Allys94
journals/combinatorica/AlonA91	COMB:AloAza91	combinatorica	1991	AloAza	COMB:AloAza91	DBLP:journals/combinatorica/AlonA91
journals/combinatorica/AlonB87	COMB:AloBop87	combinatorica	1987	AloBop	COMB:AloBop87	DBLP:journals/combinatorica/AlonB87
journals/combinatorica/AlonD95	COMB:AloDub95	combinatorica	1995	AloDub	COMB:AloDub95	DBLP:journals/combinatorica/AlonD95
journals/combinatorica/AlonF88	COMB:AloFre88	combinatorica	1988	AloFre	COMB:AloFre88	DBLP:journals/combinatorica/AlonF88
journals/combinatorica/AlonK97	COMB:AloKri97	combinatorica	1997	AloKri	COMB:AloKri97	DBLP:journals/combinatorica/AlonK97
journals/combinatorica/AlonKS07	COMB:AloKriSud07	combinatorica	2007	AloKriSud	COMB:AloKriSud07	DBLP:journals/combinatorica/AlonKS07
journals/combinatorica/AlonKS99	COMB:AloKriSud99	combinatorica	1999	AloKriSud	COMB:AloKriSud99	DBLP:journals/combinatorica/AlonKS99
journals/combinatorica/AlonKV20	COMB:AloKumVol20	combinatorica	2020	AloKumVol	COMB:AloKumVol20	DBLP:journals/combinatorica/AlonKV20
journals/combinatorica/AlonL07	COMB:AloLub07a	combinatorica	2007	AloLub	COMB:AloLub07	DBLP:journals/combinatorica/AlonL07
journals/combinatorica/AlonL07a	COMB:AloLub07b	combinatorica	2007	AloLub	COMB:AloLub07	DBLP:journals/combinatorica/AlonL07a
journals/combinatorica/AlonL09	COMB:AloLub09	combinatorica	2009	AloLub	COMB:AloLub09	DBLP:journals/combinatorica/AlonL09
journals/combinatorica/AlonMR92	COMB:AloMcdRee92	combinatorica	1992	AloMcdRee	COMB:AloMcdRee92	DBLP:journals/combinatorica/AlonMR92
journals/combinatorica/AlonPS01	COMB:AloPacSol01	combinatorica	2001	AloPacSol	COMB:AloPacSol01	DBLP:journals/combinatorica/AlonPS01
journals/combinatorica/AlonR05	COMB:AloRod05	combinatorica	2005	AloRod	COMB:AloRod05	DBLP:journals/combinatorica/AlonR05
journals/combinatorica/AlonS06	COMB:AloSha06	combinatorica	2006	AloSha	COMB:AloSha06	DBLP:journals/combinatorica/AlonS06
journals/combinatorica/AlonS08	COMB:AloSha08	combinatorica	2008	AloSha	COMB:AloSha08	DBLP:journals/combinatorica/AlonS08
journals/combinatorica/AlonT89	COMB:AloTar89	combinatorica	1989	AloTar	COMB:AloTar89	DBLP:journals/combinatorica/AlonT89
journals/combinatorica/AlonT92	COMB:AloTar92	combinatorica	1992	AloTar	COMB:AloTar92	DBLP:journals/combinatorica/AlonT92
journals/combinatorica/AlonY06	COMB:AloYus06	combinatorica	2006	AloYus	COMB:AloYus06	DBLP:journals/combinatorica/AlonY06
journals/combinatorica/Alon21	COMB:Alon21	combinatorica	2021	Alon	COMB:Alon21	DBLP:journals/combinatorica/Alon21
journals/combinatorica/Alon86	COMB:Alon86a	combinatorica	1986	Alon	COMB:Alon86	DBLP:journals/combinatorica/Alon86
journals/combinatorica/Alon86a	COMB:Alon86b	combinatorica	1986	Alon	COMB:Alon86	DBLP:journals/combinatorica/Alon86a
journals/combinatorica/Alon86b	COMB:Alon86c	combinatorica	1986	Alon	COMB:Alon86	DBLP:journals/combinatorica/Alon86b
journals/combinatorica/Alon90	COMB:Alon90	combinatorica	1990	Alon	COMB:Alon90	DBLP:journals/combinatorica/Alon90
journals/combinatorica/Alon96	COMB:Alon96	combinatorica	1996	Alon	COMB:Alon96	DBLP:journals/combinatorica/Alon96
journals/combinatorica/Alon98	COMB:Alon98	combinatorica	1998	Alon	COMB:Alon98	DBLP:journals/combinatorica/Alon98
journals/combinatorica/Alpoge17	COMB:Alpoge17	combinatorica	2017	Alpoge	COMB:Alpoge17	DBLP:journals/combinatorica/Alpoge17
journals/combinatorica/Alweiss25	COMB:Alweiss25	combinatorica	2025	Alweiss	COMB:Alweiss25	DBLP:journals/combinatorica/Alweiss25
journals/combinatorica/AmatoT11	COMB:AmaTru11	combinatorica	2011	AmaTru	COMB:AmaTru11	DBLP:journals/combinatorica/AmatoT11
journals/combinatorica/Amato19	COMB:Amato19	combinatorica	2019	Amato	COMB:Amato19	DBLP:journals/combinatorica/Amato19
journals/combinatorica/AminiEH13	COMB:AmiEspHeu13	combinatorica	2013	AmiEspHeu	COMB:AmiEspHeu13	DBLP:journals/combinatorica/AminiEH13
journals/combinatorica/AmitL02	COMB:AmiLin02	combinatorica	2002	AmiLin	COMB:AmiLin02	DBLP:journals/combinatorica/AmitL02
journals/combinatorica/AndroulakisDK10	COMB:AndDilKal10	combinatorica	2010	AndDilKal	COMB:AndDilKal10	DBLP:journals/combinatorica/AndroulakisDK10
journals/combinatorica/Anderson87	COMB:Anderson87	combinatorica	1987	Anderson	COMB:Anderson87	DBLP:journals/combinatorica/Anderson87
journals/combinatorica/Andreae86	COMB:Andreae86	combinatorica	1986	Andreae	COMB:Andreae86	DBLP:journals/combinatorica/Andreae86
journals/combinatorica/AngelB07	COMB:AngBen07	combinatorica	2007	AngBen	COMB:AngBen07	DBLP:journals/combinatorica/AngelB07
journals/combinatorica/AngelFW12	COMB:AngFlaWil12	combinatorica	2012	AngFlaWil	COMB:AngFlaWil12	DBLP:journals/combinatorica/AngelFW12
journals/combinatorica/Annamalai18	COMB:Annamalai18	combinatorica	2018	Annamalai	COMB:Annamalai18	DBLP:journals/combinatorica/Annamalai18
journals/combinatorica/AnsteeF11	COMB:AnsFle11	combinatorica	2011	AnsFle	COMB:AnsFle11	DBLP:journals/combinatorica/AnsteeF11
journals/combinatorica/AnsteeS05	COMB:AnsSal05	combinatorica	2005	AnsSal	COMB:AnsSal05	DBLP:journals/combinatorica/AnsteeS05
journals/combinatorica/Anstee83	COMB:Anstee83	combinatorica	1983	Anstee	COMB:Anstee83	DBLP:journals/combinatorica/Anstee83
journals/combinatorica/ArasuDJ95	COMB:AraDavJed95	combinatorica	1995	AraDavJed	COMB:AraDavJed95	DBLP:journals/combinatorica/ArasuDJ95
journals/combinatorica/ArochaBM08	COMB:AroBraMon08	combinatorica	2008	AroBraMon	COMB:AroBraMon08	DBLP:journals/combinatorica/ArochaBM08
journals/combinatorica/AronovS90	COMB:AroSha90	combinatorica	1990	AroSha	COMB:AroSha90	DBLP:journals/combinatorica/AronovS90
journals/combinatorica/AroraS03	COMB:AroSud03	combinatorica	2003	AroSud	COMB:AroSud03	DBLP:journals/combinatorica/AroraS03
journals/combinatorica/ArratiaBS04	COMB:ArrBolSor04	combinatorica	2004	ArrBolSor	COMB:ArrBolSor04	DBLP:journals/combinatorica/ArratiaBS04
journals/combinatorica/Athanasiadis25	COMB:Athanasiadis25	combinatorica	2025	Athanasiadis	COMB:Athanasiadis25	DBLP:journals/combinatorica/Athanasiadis25
journals/combinatorica/AvileesT13	COMB:AviTod13	combinatorica	2013	AviTod	COMB:AviTod13	DBLP:journals/combinatorica/AvileesT13
journals/combinatorica/AvvakumovKS23	COMB:AvvKarSko23	combinatorica	2023	AvvKarSko	COMB:AvvKarSko23	DBLP:journals/combinatorica/AvvakumovKS23
journals/combinatorica/AxenovichK01	COMB:AxeKun01	combinatorica	2001	AxeKun	COMB:AxeKun01	DBLP:journals/combinatorica/AxenovichK01
journals/combinatorica/AxenovichRU18	COMB:AxeRolUec18	combinatorica	2018	AxeRolUec	COMB:AxeRolUec18	DBLP:journals/combinatorica/AxenovichRU18
journals/combinatorica/AyreCG22	COMB:AyrCojGre22	combinatorica	2022	AyrCojGre	COMB:AyrCojGre22	DBLP:journals/combinatorica/AyreCG22
journals/combinatorica/AzarMN98	COMB:AzaMotNao98	combinatorica	1998	AzaMotNao	COMB:AzaMotNao98	DBLP:journals/combinatorica/AzarMN98
journals/combinatorica/BeaudouBCCCCFZ13	COMB:BBCCCC13	combinatorica	2013	BBCCCC	COMB:BBCCCC13	DBLP:journals/combinatorica/BeaudouBCCCCFZ13
journals/combinatorica/BaloghBDFP25	COMB:BBDFP25	combinatorica	2025	BBDFP	COMB:BBDFP25	DBLP:journals/combinatorica/BaloghBDFP25
journals/combinatorica/BrandtBDK06	COMB:BBDK06	combinatorica	2006	BBDK	COMB:BBDK06	DBLP:journals/combinatorica/BrandtBDK06
journals/combinatorica/BousquetBEJLMP21	COMB:BBEJLM21	combinatorica	2021	BBEJLM	COMB:BBEJLM21	DBLP:journals/combinatorica/BousquetBEJLMP21
journals/combinatorica/BaloghBGGS14	COMB:BBGGS14	combinatorica	2014	BBGGS	COMB:BBGGS14	DBLP:journals/combinatorica/BaloghBGGS14
journals/combinatorica/BermanBGRWY14	COMB:BBGRWY14	combinatorica	2014	BBGRWY	COMB:BBGRWY14	DBLP:journals/combinatorica/BermanBGRWY14
journals/combinatorica/BryantBHMS11	COMB:BBHMS11	combinatorica	2011	BBHMS	COMB:BBHMS11	DBLP:journals/combinatorica/BryantBHMS11
journals/combinatorica/BakerBLS94	COMB:BBLS94	combinatorica	1994	BBLS	COMB:BBLS94	DBLP:journals/combinatorica/BakerBLS94
journals/combinatorica/BercziBLT26	COMB:BBLT26	combinatorica	2026	BBLT	COMB:BBLT26	DBLP:journals/combinatorica/BercziBLT26
journals/combinatorica/BaloghBNLMS17	COMB:BBNLMS17	combinatorica	2017	BBNLMS	COMB:BBNLMS17	DBLP:journals/combinatorica/BaloghBNLMS17
journals/combinatorica/BergeCCS81	COMB:BCCS81	combinatorica	1981	BCCS	COMB:BCCS81	DBLP:journals/combinatorica/BergeCCS81
journals/combinatorica/BrietCGM12	COMB:BCGM12	combinatorica	2012	BCGM	COMB:BCGM12	DBLP:journals/combinatorica/BrietCGM12
journals/combinatorica/BalkoCHKV22	COMB:BCHKV22	combinatorica	2022	BCHKV	COMB:BCHKV22	DBLP:journals/combinatorica/BalkoCHKV22
journals/combinatorica/BaloghCHLLTT23	COMB:BCHLLT23	combinatorica	2023	BCHLLT	COMB:BCHLLT23	DBLP:journals/combinatorica/BaloghCHLLTT23
journals/combinatorica/BorgsCHSS06	COMB:BCHSS06	combinatorica	2006	BCHSS	COMB:BCHSS06	DBLP:journals/combinatorica/BorgsCHSS06
journals/combinatorica/BowlerCKR19	COMB:BCKR19	combinatorica	2019	BCKR	COMB:BCKR19	DBLP:journals/combinatorica/BowlerCKR19
journals/combinatorica/BuiCLS87	COMB:BCLS87	combinatorica	1987	BCLS	COMB:BCLS87	DBLP:journals/combinatorica/BuiCLS87
journals/combinatorica/BradshawCMMW24	COMB:BCMMW24	combinatorica	2024	BCMMW	COMB:BCMMW24	DBLP:journals/combinatorica/BradshawCMMW24
journals/combinatorica/BonomoCMSSZ18	COMB:BCMSSZ18	combinatorica	2018	BCMSSZ	COMB:BCMSSZ18	DBLP:journals/combinatorica/BonomoCMSSZ18
journals/combinatorica/BasuCSJ22	COMB:BCSJ22	combinatorica	2022	BCSJ	COMB:BCSJ22	DBLP:journals/combinatorica/BasuCSJ22
journals/combinatorica/BellDCY23	COMB:BDCY23	combinatorica	2023	BDCY	COMB:BDCY23	DBLP:journals/combinatorica/BellDCY23
journals/combinatorica/BrakensiekDGGL26	COMB:BDGGL26	combinatorica	2026	BDGGL	COMB:BDGGL26	DBLP:journals/combinatorica/BrakensiekDGGL26
journals/combinatorica/BruhnDGS10	COMB:BDGS10	combinatorica	2010	BDGS	COMB:BDGS10	DBLP:journals/combinatorica/BruhnDGS10
journals/combinatorica/BokalDHLMW22	COMB:BDHLMW22	combinatorica	2022	BDHLMW	COMB:BDHLMW22	DBLP:journals/combinatorica/BokalDHLMW22
journals/combinatorica/BhattacharyyaDS16	COMB:BDSS16	combinatorica	2016	BDSS	COMB:BDSS16	DBLP:journals/combinatorica/BhattacharyyaDS16
journals/combinatorica/BollobasESW93	COMB:BESW93	combinatorica	1993	BESW	COMB:BESW93	DBLP:journals/combinatorica/BollobasESW93
journals/combinatorica/BohmanFMP10	COMB:BFMP10	combinatorica	2010	BFMP	COMB:BFMP10	DBLP:journals/combinatorica/BohmanFMP10
journals/combinatorica/BohmanFRT01	COMB:BFRT01	combinatorica	2001	BFRT	COMB:BFRT01	DBLP:journals/combinatorica/BohmanFRT01
journals/combinatorica/BoylandGHR25	COMB:BGHR25	combinatorica	2025	BGHR	COMB:BGHR25	DBLP:journals/combinatorica/BoylandGHR25
journals/combinatorica/BermondGHS81	COMB:BGHS81	combinatorica	1981	BGHS	COMB:BGHS81	DBLP:journals/combinatorica/BermondGHS81
journals/combinatorica/BradacGJS23	COMB:BGJS23	combinatorica	2023	BGJS	COMB:BGJS23	DBLP:journals/combinatorica/BradacGJS23
journals/combinatorica/BodlaenderGKL90	COMB:BGKL90	combinatorica	1990	BGKL	COMB:BGKL90	DBLP:journals/combinatorica/BodlaenderGKL90
journals/combinatorica/BartoliGMP18	COMB:BGMP18	combinatorica	2018	BGMP	COMB:BGMP18	DBLP:journals/combinatorica/BartoliGMP18
journals/combinatorica/BollobasGRS04	COMB:BGRS04	combinatorica	2004	BGRS	COMB:BGRS04	DBLP:journals/combinatorica/BollobasGRS04
journals/combinatorica/BensmailHLS23	COMB:BHLS23	combinatorica	2023	BHLS	COMB:BHLS23	DBLP:journals/combinatorica/BensmailHLS23
journals/combinatorica/BensmailHLT19	COMB:BHLT19	combinatorica	2019	BHLT	COMB:BHLT19	DBLP:journals/combinatorica/BensmailHLT19
journals/combinatorica/BehagueHMNW25	COMB:BHMNW25	combinatorica	2025	BHMNW	COMB:BHMNW25	DBLP:journals/combinatorica/BehagueHMNW25
journals/combinatorica/BeckerIKM25	COMB:BIKM25	combinatorica	2025	BIKM	COMB:BIKM25	DBLP:journals/combinatorica/BeckerIKM25
journals/combinatorica/BrianskiJMMSS23	COMB:BJMMSS23	combinatorica	2023	BJMMSS	COMB:BJMMSS23	DBLP:journals/combinatorica/BrianskiJMMSS23
journals/combinatorica/BraccioKMMZ26	COMB:BKMMZ26	combinatorica	2026	BKMMZ	COMB:BKMMZ26	DBLP:journals/combinatorica/BraccioKMMZ26
journals/combinatorica/BannaiKNS03	COMB:BKNS03	combinatorica	2003	BKNS	COMB:BKNS03	DBLP:journals/combinatorica/BannaiKNS03
journals/combinatorica/BartosovaLLM22	COMB:BLLM22	combinatorica	2022	BLLM	COMB:BLLM22	DBLP:journals/combinatorica/BartosovaLLM22
journals/combinatorica/BambergLMX18	COMB:BLMX18	combinatorica	2018	BLMX	COMB:BLMX18	DBLP:journals/combinatorica/BambergLMX18
journals/combinatorica/BucicLSS21	COMB:BLSS21	combinatorica	2021	BLSS	COMB:BLSS21	DBLP:journals/combinatorica/BucicLSS21
journals/combinatorica/BundeMWW08	COMB:BMWW08	combinatorica	2008	BMWW	COMB:BMWW08	DBLP:journals/combinatorica/BundeMWW08
journals/combinatorica/BenderRRW86	COMB:BRRW86	combinatorica	1986	BRRW	COMB:BRRW86	DBLP:journals/combinatorica/BenderRRW86
journals/combinatorica/BlekhermanRST20	COMB:BRST20	combinatorica	2020	BRST	COMB:BRST20	DBLP:journals/combinatorica/BlekhermanRST20
journals/combinatorica/BondySTT06	COMB:BSTT06	combinatorica	2006	BSTT	COMB:BSTT06	DBLP:journals/combinatorica/BondySTT06
